Filtering the log data using "subsystem == "com.apple.hid" OR (process == "kernel" AND composedMessage CONTAINS "Apple")"
Timestamp                       Thread     Type        Activity             PID    TTL
2026-03-30 01:33:14.375900-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::transactToIOMD: -> 0,
2026-03-30 01:33:14.375910-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform -> err:0x0
2026-03-30 01:33:14.375920-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::externalMethod -> err:0x0
2026-03-30 01:33:14.376142-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::externalMethod <- selector:0, arguments:<private>, dispatch:0x0, target:0x0, reference:0x0
2026-03-30 01:33:14.376146-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform <- inObj:<private>, inRef:<private>, inArg:<private>
2026-03-30 01:33:14.376155-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform: in md = <private> out md = <private>  out md size 264
2026-03-30 01:33:14.376157-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServices::performCommand <- inData:<private>, outData:<private>, outSize:<private> --> _provider->performCommand
2026-03-30 01:33:14.376175-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::transactToIOMD: command:0x7c, inData:0x0, inDataSize:0, outData:<private>, outOptBytesWritten:<private>, flags:0x0
2026-03-30 01:33:14.376177-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::transact: command:0x7c, inData:0x0, inLength:0, outDataOut:<private>, outLength:<private>, flags:0x0
2026-03-30 01:33:14.376180-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::getEndpoint: -> 0,
